DETECTOR-DESCRIPTOR,0,1,2,3,4,5,6,7,8,9,10,11
BRISK-BRISK,13.3904,12.9997,15.996,15.3729,12.5551,11.844,11.5858,10.9632,11.6488,11.6512,9.06323,13.1619
BRISK-BRIEF,12.7589,15.3008,11.0112,12.3423,12.5611,10.3307,,,,,,
BRISK-ORB,9.59434,13.3823,10.7238,12.407,11.7432,16.9301,10.1425,9.46085,15.7463,,,
BRISK-FREAK,11.3104,11.0027,12.3286,10.6411,16.1729,10.9105,12.9098,11.1565,10.0634,,,
BRISK-SIFT,15.5841,15.23,24.5615,17.0318,14.7633,16.665,12.4948,11.5932,10.986,10.0344,12.0657,
