DETECTOR-DESCRIPTOR,0,1,2,3,4,5,6,7,8,9,10,11,12
FAST-BRISK,12.8603,12.4984,11.4,12.2389,12.4984,11.9951,11.4009,10.5305,,,,,
FAST-BRIEF,9.35523,12.1729,12.9512,13.2848,11.7805,,,,,,,,
FAST-ORB,11.7451,10.8845,10.7149,,,,,,,,,,
FAST-FREAK,12.7505,12.5761,8.19502,10.8182,11.0001,,,,,,,,
FAST-SIFT,12.6239,13.9459,13.0766,12.8144,12.699,14.3139,12.1201,12.5746,12.093,11.5476,10.9654,10.6436,11.6087
